timestamp,ticker,team,line,yes_best_bid,yes_imp_ask,no_best_bid,no_imp_ask,spread_cents,midpoint,yes_bid_qty,yes_ask_qty,no_bid_qty,no_ask_qty,fetch_success,error_msg
2026-02-07T01:45:40.288262+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD3,BRAD,3.0,9,43,57,91,34,26.0,1000,6,6,1000,True,
2026-02-07T01:45:40.669441+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD6,BRAD,6.0,12,37,63,88,25,24.5,121,69,69,121,True,
2026-02-07T01:45:41.338486+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD9,BRAD,9.0,3,10,90,97,7,6.5,145,106,106,145,True,
2026-02-07T01:45:41.724976+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI12,UNI,12.0,5,32,68,95,27,18.5,1000,5,5,1000,True,
2026-02-07T01:45:42.143212+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI15,UNI,15.0,3,31,69,97,28,17.0,50,1000,1000,50,True,
2026-02-07T01:45:42.632714+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI18,UNI,18.0,3,28,72,97,25,15.5,50,1000,1000,50,True,
2026-02-07T01:45:43.213870+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI3,UNI,3.0,41,61,39,59,20,51.0,3,350,350,3,True,
2026-02-07T01:45:43.797726+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI6,UNI,6.0,21,62,38,79,41,41.5,1000,4,4,1000,True,
2026-02-07T01:45:44.262552+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI9,UNI,9.0,11,41,59,89,30,26.0,1000,2,2,1000,True,
2026-02-07T01:47:01.449178+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD12,BRAD,12.0,2,7,93,98,5,4.5,106,106,106,106,True,
2026-02-07T01:47:02.198103+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD3,BRAD,3.0,3,45,55,97,42,24.0,50,6,6,50,True,
2026-02-07T01:47:02.743494+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD6,BRAD,6.0,12,79,21,88,67,45.5,121,83,83,121,True,
2026-02-07T01:47:03.230772+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD9,BRAD,9.0,3,38,62,97,35,20.5,50,6,6,50,True,
2026-02-07T01:47:03.660135+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI12,UNI,12.0,3,32,68,97,29,17.5,50,5,5,50,True,
2026-02-07T01:47:04.075507+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI15,UNI,15.0,3,54,46,97,51,28.5,50,600,600,50,True,
2026-02-07T01:47:04.547423+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI18,UNI,18.0,3,52,48,97,49,27.5,50,600,600,50,True,
2026-02-07T01:47:04.993029+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI3,UNI,3.0,42,61,39,58,19,51.5,3,350,350,3,True,
2026-02-07T01:47:05.541872+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI6,UNI,6.0,3,60,40,97,57,31.5,50,4,4,50,True,
2026-02-07T01:47:05.936433+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI9,UNI,9.0,3,41,59,97,38,22.0,50,2,2,50,True,
2026-02-07T01:48:23.328068+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD12,BRAD,12.0,2,7,93,98,5,4.5,106,106,106,106,True,
2026-02-07T01:48:24.039127+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD3,BRAD,3.0,5,40,60,95,35,22.5,1000,6,6,1000,True,
2026-02-07T01:48:24.733818+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD6,BRAD,6.0,12,31,69,88,19,21.5,121,1000,1000,121,True,
2026-02-07T01:48:25.164964+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-BRAD9,BRAD,9.0,3,28,72,97,25,15.5,50,1000,1000,50,True,
2026-02-07T01:48:25.573910+00:00,KXNCAAMBSPREAD-26FEB06BRADUNI-UNI12,UNI,12.0,9,32,68,91,23,20.5,1000,5,5,1000,True,
