timestamp,ticker,team,line,yes_best_bid,yes_imp_ask,no_best_bid,no_imp_ask,spread_cents,midpoint,yes_bid_qty,yes_ask_qty,no_bid_qty,no_ask_qty,fetch_success,error_msg
2026-02-07T01:39:55.745039+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC9,UIC,9.0,15,21,79,85,6,18.0,622,1300,1300,622,True,
2026-02-07T01:41:16.234752+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL12,BEL,12.0,15,21,79,85,6,18.0,185,1300,1300,185,True,
2026-02-07T01:41:16.727617+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL15,BEL,15.0,6,15,85,94,9,10.5,500,500,500,500,True,
2026-02-07T01:41:17.277925+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL18,BEL,18.0,3,11,89,97,8,7.0,50,530,530,50,True,
2026-02-07T01:41:18.102514+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL3,BEL,3.0,41,46,54,59,5,43.5,800,813,813,800,True,
2026-02-07T01:41:18.511738+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL6,BEL,6.0,32,37,63,68,5,34.5,274,139,139,274,True,
2026-02-07T01:41:19.099275+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL9,BEL,9.0,25,29,71,75,4,27.0,200,370,370,200,True,
2026-02-07T01:41:19.597625+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC12,UIC,12.0,5,14,86,95,9,9.5,500,500,500,500,True,
2026-02-07T01:41:19.987408+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC3,UIC,3.0,31,38,62,69,7,34.5,1686,1300,1300,1686,True,
2026-02-07T01:41:20.456680+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC6,UIC,6.0,23,28,72,77,5,25.5,335,200,200,335,True,
2026-02-07T01:41:20.842531+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC9,UIC,9.0,15,21,79,85,6,18.0,622,1300,1300,622,True,
2026-02-07T01:42:37.935677+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL12,BEL,12.0,15,21,79,85,6,18.0,173,1300,1300,173,True,
2026-02-07T01:42:38.686323+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL15,BEL,15.0,6,15,85,94,9,10.5,500,500,500,500,True,
2026-02-07T01:42:39.135891+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL18,BEL,18.0,3,11,89,97,8,7.0,50,530,530,50,True,
2026-02-07T01:42:39.576964+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL3,BEL,3.0,42,46,54,58,4,44.0,253,296,296,253,True,
2026-02-07T01:42:40.164559+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL6,BEL,6.0,32,37,63,68,5,34.5,269,139,139,269,True,
2026-02-07T01:42:40.586910+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL9,BEL,9.0,25,29,71,75,4,27.0,200,370,370,200,True,
2026-02-07T01:42:41.084672+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC12,UIC,12.0,5,14,86,95,9,9.5,500,500,500,500,True,
2026-02-07T01:42:41.617012+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC3,UIC,3.0,31,38,62,69,7,34.5,1681,1300,1300,1681,True,
2026-02-07T01:42:42.126746+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC6,UIC,6.0,23,28,72,77,5,25.5,327,200,200,327,True,
2026-02-07T01:42:42.643255+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC9,UIC,9.0,16,21,79,84,5,18.5,236,800,800,236,True,
2026-02-07T01:44:01.723072+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL12,BEL,12.0,15,21,79,85,6,18.0,173,1300,1300,173,True,
2026-02-07T01:44:02.213753+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL15,BEL,15.0,6,15,85,94,9,10.5,500,500,500,500,True,
2026-02-07T01:44:02.645709+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL18,BEL,18.0,3,11,89,97,8,7.0,50,530,530,50,True,
2026-02-07T01:44:03.013761+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL3,BEL,3.0,42,46,54,58,4,44.0,453,287,287,453,True,
2026-02-07T01:44:03.468873+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL6,BEL,6.0,32,37,63,68,5,34.5,269,139,139,269,True,
2026-02-07T01:44:03.919517+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL9,BEL,9.0,25,29,71,75,4,27.0,200,370,370,200,True,
2026-02-07T01:44:04.392169+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC12,UIC,12.0,5,14,86,95,9,9.5,500,500,500,500,True,
2026-02-07T01:44:04.870617+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC3,UIC,3.0,31,38,62,69,7,34.5,1681,1300,1300,1681,True,
2026-02-07T01:44:05.457237+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC6,UIC,6.0,23,28,72,77,5,25.5,327,200,200,327,True,
2026-02-07T01:44:05.887833+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC9,UIC,9.0,16,21,79,84,5,18.5,236,800,800,236,True,
2026-02-07T01:45:23.074368+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL12,BEL,12.0,15,21,79,85,6,18.0,173,1300,1300,173,True,
2026-02-07T01:45:23.580094+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL15,BEL,15.0,6,15,85,94,9,10.5,500,500,500,500,True,
2026-02-07T01:45:24.001943+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL18,BEL,18.0,3,11,89,97,8,7.0,50,530,530,50,True,
2026-02-07T01:45:24.475171+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL3,BEL,3.0,42,46,54,58,4,44.0,337,708,708,337,True,
2026-02-07T01:45:25.014458+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL6,BEL,6.0,32,37,63,68,5,34.5,269,139,139,269,True,
2026-02-07T01:45:26.472652+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL9,BEL,9.0,25,28,72,75,3,26.5,200,400,400,200,True,
2026-02-07T01:45:26.889949+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC12,UIC,12.0,5,14,86,95,9,9.5,500,500,500,500,True,
2026-02-07T01:45:27.315777+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC3,UIC,3.0,31,38,62,69,7,34.5,1681,1300,1300,1681,True,
2026-02-07T01:45:27.764502+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC6,UIC,6.0,23,28,72,77,5,25.5,327,200,200,327,True,
2026-02-07T01:45:28.329763+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC9,UIC,9.0,16,21,79,84,5,18.5,236,800,800,236,True,
2026-02-07T01:46:44.646185+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL12,BEL,12.0,15,21,79,85,6,18.0,173,1300,1300,173,True,
2026-02-07T01:46:45.030039+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL15,BEL,15.0,6,15,85,94,9,10.5,500,500,500,500,True,
2026-02-07T01:46:45.494923+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL18,BEL,18.0,3,11,89,97,8,7.0,50,530,530,50,True,
2026-02-07T01:46:45.876261+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL3,BEL,3.0,42,46,54,58,4,44.0,1837,490,490,1837,True,
2026-02-07T01:46:46.257333+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL6,BEL,6.0,32,37,63,68,5,34.5,269,139,139,269,True,
2026-02-07T01:46:46.652353+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL9,BEL,9.0,25,28,72,75,3,26.5,200,400,400,200,True,
2026-02-07T01:46:47.031041+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC12,UIC,12.0,5,14,86,95,9,9.5,500,500,500,500,True,
2026-02-07T01:46:47.433703+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC3,UIC,3.0,31,38,62,69,7,34.5,1681,1300,1300,1681,True,
2026-02-07T01:46:47.864224+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC6,UIC,6.0,23,28,72,77,5,25.5,327,200,200,327,True,
2026-02-07T01:46:48.497737+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC9,UIC,9.0,16,21,79,84,5,18.5,236,800,800,236,True,
2026-02-07T01:48:06.373983+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL12,BEL,12.0,15,21,79,85,6,18.0,173,1300,1300,173,True,
2026-02-07T01:48:06.815957+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL15,BEL,15.0,6,15,85,94,9,10.5,500,500,500,500,True,
2026-02-07T01:48:07.433953+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL18,BEL,18.0,3,11,89,97,8,7.0,50,530,530,50,True,
2026-02-07T01:48:08.078029+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL3,BEL,3.0,42,46,54,58,4,44.0,1837,867,867,1837,True,
2026-02-07T01:48:08.579661+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL6,BEL,6.0,32,37,63,68,5,34.5,269,139,139,269,True,
2026-02-07T01:48:09.209296+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL9,BEL,9.0,25,28,72,75,3,26.5,200,400,400,200,True,
2026-02-07T01:48:09.789399+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC12,UIC,12.0,5,14,86,95,9,9.5,500,500,500,500,True,
2026-02-07T01:48:10.179216+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC3,UIC,3.0,31,38,62,69,7,34.5,1681,1300,1300,1681,True,
2026-02-07T01:48:10.661889+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC6,UIC,6.0,23,28,72,77,5,25.5,327,200,200,327,True,
2026-02-07T01:48:11.080995+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-UIC9,UIC,9.0,16,21,79,84,5,18.5,236,800,800,236,True,
2026-02-07T01:49:28.672879+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL12,BEL,12.0,15,21,79,85,6,18.0,173,1300,1300,173,True,
2026-02-07T01:49:29.119034+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL15,BEL,15.0,6,15,85,94,9,10.5,500,500,500,500,True,
2026-02-07T01:49:29.796084+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL18,BEL,18.0,3,11,89,97,8,7.0,50,530,530,50,True,
2026-02-07T01:49:30.426277+00:00,KXNCAAMBSPREAD-26FEB06BELUIC-BEL3,BEL,3.0,42,46,54,58,4,44.0,1837,746,746,1837,True,
